DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,FullnessRank,DigestionRank,Debris (sand/silt/mud),Unid animal material,Unid plant material
0248,EDSM,KT,2019,8,16-Aug-19,20-03-LSSC02,Sac DW Ship Channel,468,Delta Smelt,8:43,11.3,24.8,584,0.27,,,,48,25.6,0.7257,N,51,,0,,,1,
0250,EDSM,KT,2019,8,16-Aug-19,20-03-LSSC02,Sac DW Ship Channel,471,Delta Smelt,8:43,11.3,24.8,584,0.27,,,,48,25.6,0.4112,Y,41,0.0018,1,2,,1,
0258,EDSM,KT,2019,7,30-Jul-19,19-53-LSSC04,Sac DW Ship Channel,571,Delta Smelt,11:39,7.5,23.8,210,0.09,,,,71,57.9,0.6183,Y,43,0.0060,3,2,,,1
0260,EDSM,KT,2019,7,29-Jul-19,19-53-LSSC02,Sac DW Ship Channel,568,Delta Smelt,10:50,10.1,24.4,706,0.33,,,,48,23.8,0.3390,Y,39,0.0032,4,2,,1,
0261,EDSM,KT,2019,7,05-Jul-19,19-49-SBM02,Suisun Bay,194,Delta Smelt,9:28,14.8,20.7,4930,2.62,,,,29,47.1,0.4510,Y,38,0.0049,3,1,,1,
0262,EDSM,KT,2019,7,15-Jul-19,19-51-HB01,Suisun Bay,195,Delta Smelt,9:25,,,,,,,,,,1.1904,Y,56,0.0032,1,2,,1,
0290,EDSM,KT,2019,7,03-Jul-19,19-49-LSSC01,Sac DW Ship Channel,431,Delta Smelt,9:50,10.3,22.4,576,0.26,,,,49,37.7,0.5273,N,42,,0,,,1,
0297,EDSM,KT,2019,7,03-Jul-19,19-49-LSSC01,Sac DW Ship Channel,440,Delta Smelt,9:50,10.3,22.4,576,0.26,,,,49,37.7,0.4457,N,40,0.0004,0,4,,1,
0302,EDSM,KT,2019,7,03-Jul-19,19-49-LSSC01,Sac DW Ship Channel,445,Delta Smelt,9:50,10.3,22.4,576,0.26,,,,49,37.7,0.4718,N,40,,0,,,1,
0310,EDSM,KT,2019,7,03-Jul-19,19-49-LSSC02,Sac DW Ship Channel,453,Delta Smelt,11:34,9.8,22.6,507,0.23,,,,52,40.2,0.9023,Y,50,0.0125,2,2,,1,
