DOPLogNumber,Project,SurveyDate,Station,Species,SerialNumber,PreyType,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3.4,,0.00105
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3.4,,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Unid gammarus type,4.6,ED,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Unid Gammaroidea,4.6,ED,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,2.8,,0.00088
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,juvenile Gammarus,1.7,,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Unid gammarus type,3.9,G,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Corophium type,A. Spinicorne,2.8,,
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Gammarus spp.,3.2,ED,
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Gammarus spp.,2.6,,
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Gammarus spp.,2.7,,
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Gammarus spp.,2.9,,0.00029
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Unid Gammaroidea,3.2,ED,
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Gammarus spp.,2.5,,0.00022
0053,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0053,Gammarus type,Gammarus spp.,3.6,,
0054,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0054,Gammarus type,Gammarus spp.,3.6,,0.00076
0055,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0055,Gammarus type,Unid Gammarus type,4.6,G,
0055,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0055,Gammarus type,Unid Gammarus type,4.6,ED,
0055,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0055,Gammarus type,Gammarus spp.,2.1,,
0055,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0055,Corophium type,Unid Corophium type,2.7,G,
0055,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0055,Unid Amphipod,Unid amphipod,2.9,S,
0056,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0056,Corophium type,A. spinicorne,3,AL,
0056,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0056,Gammarus type,Gammarus spp.,3,,0.0003
0056,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0056,Gammarus type,Unid Gammarus type,3.3,S,
0056,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0056,Gammarus type,juvenile Gammarus,1.7,S,
0057,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0057,Corophium type,A. spinicorne,2.7,,
0057,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0057,Gammarus type,Unid Gammarus type,2.6,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Gammarus spp.,4.2,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Unid Gammaroidea,4.6,ED,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Unid Gammarus type,3.2,ED,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Unid Gammaroidea,4.6,ED,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Unid Gammaroidea,3.2,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Unid Gammaroidea,4.1,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Gammarus spp.,4.3,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Gammarus spp.,2.9,,0.00058
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Gammarus spp.,2.1,,0.00023
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Gammarus spp.,3.8,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,Unid Gammaroidea,2.9,,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Unid Amphipod,Unid amphipod,2.9,S,
0058,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0058,Gammarus type,juvenile Gammarus,1.8,,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Unid Gammaroidea,3.2,ED,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Unid Gammaroidea,4.6,ED,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Gammarus spp.,3.3,G,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Unid Gammaroidea,2.8,,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Gammarus spp.,2.5,,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Unid Gammaroidea,4.6,ED,
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Gammarus type,Gammarus spp.,3.7,,0.00043
0059,EDSM,10-Oct-17,18-11-LSR02,Delta Smelt,0059,Corophium type,juvenile Corophium,1.1,,
